headline,sentiment
"Viking Line s cargo revenue increased by 5.4 percent to EUR 21.46 mn , and cargo volume increased by 2.4 percent to 70,116 cargo units .",1
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",1
10 February 2011  Finnish media company Sanoma Oyj HEL  SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,1
"A Helsinki  ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",1
"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , longterm contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",1
"Commission income increased by 22 percent to EUR 4.4 mn , and lending volume rose by 13.5 percent .",1
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 percent and capacity , measured in available seat kilometres ASK , rose by 12.2 percent .",1
"In JanuarySeptember 2010 , Fiskars  net profit went up by 14 percent yearonyear to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",1
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from nonlife insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",1
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara s leaching process during the period of supply of the zinc in concentrate .",1
"Sales for both the Department Store Division and Hobby Hall increased by 7 percent , while sales for the clothing store subsidiary Seppala decreased by 4 percent .",1
Sales have risen in other export markets .,1
Sales increased due to growing market rates and increased operations .,1
The agreement strengthens our longterm partnership with Nokia Siemens Networks .,1
"The agreement was signed with Biohit Healthcare Ltd , the UKbased subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",1
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,1
"The company s order book stood at 1.5 bln euro  2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro  534.3 mln .",1
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",1
"The world s second largest stainless steel maker said net profit in the threemonth period until Dec. 31 surged to euro603 million US 781 million , or euro3 .33 US 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",1
"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",1
"Seppala s revenue increased by 0.2 percent to EUR10 .1 m. In Finland , revenue went down by 2.4 percent to EUR6 .8 m , while sales abroad rose by 6.2 percent to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",1
"Shares of Standard Chartered  STAN  rose 1.2 percent in the FTSE 100 , while Royal Bank of Scotland  RBS  shares rose 2 percent and Barclays shares  BARC   BCS  were up 1.7 percent .",1
Shares of Nokia Corp. rose Thursday after the cell phone maker said its thirdquarter earnings almost doubled and its share of the global handset market increased .,1
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a yearearlier SEK1 .114 bn and proposed a 50 percent dividend increase to SEK1 .50 per share .",1
Sales for the Department Store Division increased by 15 percent and sales for the clothing store subsidiary Seppala increased by 8 percent Meanwhile sales for Hobby Hall decreased by 12 percent .,1
"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro   645.8 mln  .",1
"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1  1  Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of KaukoTelko Ltd , a subsidiary wholly owned by Kesko .",1
Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a oneyear syndicated credit facility for a total of EUR 1.5 billion .,1
"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .",1
"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",1
"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",1
TELECOMWORLDWIRE7 April 2006TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,1
Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,1
"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America  says Uwe Bakosch .",1
"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that  market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year  .",1
The acquisition will considerably increase Kemira s sales and market position in the Russian metal industry coatings market .,1
"In JanuarySeptember 2007 , Finnlines  net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",1
"Adjusted for changes in the Group structure , the Division s net sales increased by 1.7 percent .",1
" The change will optimize the operational efficiencies of our growing business ,  said Julia Prohaska , director of marketing communications for Fiskars .",1
" They would invest not only in the physical infrastructure , but would also provide knowhow for managing and developing science and technology parks ,  said Sunrise Valley director Andrius Bagdonas .",1
"4 February 2011  Finnish broadband data communication systems provider Teleste Oyj HEL  TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",1
Finnish Aktia Group s operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,1
Finnish Bank of land s consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,1
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in JanuarySeptember 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",1
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007  February 2008 , an increase of 11.2 percent from a year earlier .",1
Net sales of Finnish food industry company Lnnen Tehtaat s continuing operations increased by 13 percent in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,1
An individual promotion also generated slightly higherthanexpected revenues .,1
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,1
"Both operating profit and turnover for the threemonth period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",1
Circulation revenue has increased by 5 percent in Finland and 4 percent in Sweden in 2008 .,1
Clothing chain Seppl s net sales increased by 7.0 percent to EUR 30.8 mn .,1
Construction volumes meanwhile grow at a rate of 1015 percent annually .,1
Finnish and Swedish construction markets are still experiencing an estimated 4 percent annual growth in 2008 .,1
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",1
"In 2009 , Fiskars  cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",1
"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",1
"In the fourth quarter of 2008 , net sales increased by 2 percent to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",1
"International sales rose by 59.8 percent to EUR 1,244.4 mn .",1
Net sales grew in the period to  x20ac 402 million  585US million from  x20ac 401 million in 2006 .,1
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,1
"Net sales rose by 25.5 percent yearonyear to EUR59 .6 m , as the number of chargers delivered went up by 41 percent to 65.9 million pieces .",1
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",1
"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the yearago quarter .",1
Operating profit increased by 145.1 percent to EUR 8.3 mn from EUR 3.4 mn .,1
Operating profit margin increased from 11.2 percent to 11.7 percent .,1
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,1
Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,1
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",1
"Ramirent s net sales in the second quarterended June 30 were EURO 128.7 million about U.S.  163 million , a 3.3percent increase compared with EURO 124.6 million for thesecond quarter last year .",1
"Revenue grew by 2 percent to  x20ac 580 million  743 million , from  x20ac 569 million .",1
Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,1
"Ruukki s delivery volumes and selling prices showed favourable development and the company s comparable net sales grew by 50 percent yearonyear to EUR647m , CEO Sakari Tamminen said .",1
Sanoma Magazines  net sales are estimated to grow in 2006 .,1
The bank forecasts Finland s GDP will grow by 2 percent in 2010 and in 2011 .,1
"The circuit s overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days .",1
"The company s consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn yearonyear .",1
The Department Store Division reported an increase in sales of 4 per cent .,1
The fair value of the company s investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,1
"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 percent .",1
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",1
"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .",1
 Operating profit rose by 26.9 percent to EUR 105.8  83.4  million .,1
" After this purchase , Cramo will become the second largest rental services provider in the Latvian market .",1
" The priority for 2009 was to strengthen the company s balance sheet and increase cash flow ,  CEO Hannu Krook said .",1
 The purchase of the operations is part of YIT s strategy to expand its offering of building system services geographically . ,1
21 October 2010  Finnish fishing tackle company Rapala VMC Corp  HEL  RAP1V  said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,1
"According to Finnish Metso Minerals , the value of the company s orders has gone up to EUR 1.9 bn in 12 months .",1
Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .,1
Finnish Bank of land reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,1
Finnish financial group Aktia s operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,1
Finnish forest machinery manufacturer Ponsse s net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,1
Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 percent to over 35 percent .,1
Finnish Okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and Norwegian solar wafer company NorSun have signed a contract under which Okmetic will supply NorSun mono silicon crystals for use in solar cell manufacturing .,1
Finnish pharmaceuticals company Orion s net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,1
"Finnish Ponsse has signed an agreement with Babcock Africa for the distribution and support of Ponsse forest machines , harvester heads , and information systems in South Africa .",1
South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish Mreal Corporation s Graphic Papers Business unit .,1
According to Deputy MD Pekka Silvennoinen the aim is double turnover over the next three years .,1
"According to HKScan Finland , the plan is to increase JrviSuomen Portti s net sales to EUR 80mn to EUR 100mn .",1
"Advertising and circulation revenues grew by 3.4 percent and by 0.4 percent , respectively .",1
"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",1
"Again , the most significant sales increase of 18.6 percent was in Russia .",1
Alma Media expects its net sales to increase as forecast previously .,1
Also Lemminkinen s profit for accounting period went up to EUR 3.1 mn from EUR 24.5 mn a year ago .,1
"At the end of March 2007 , the group s order book was at EUR 39.6 mn , up 42 percent from the corresponding period in 2006 .",1
"At the same time profit of the company increased by 10 percent in H1 and reached Ls 79,000 .",1
"Besides we have increased the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment ,  Paavel said .",1
"Both operating profit and net sales for the 12month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",1
"Both operating profit and net sales for the 12month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",1
"Both operating profit and net sales for the 12month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",1
"Both operating profit and net sales for the 12month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .",1
"Both operating profit and net sales for the ninemonth period increased , respectively by 26.6 percent and 3.4 percent , as compared to the corresponding period in 2006 .",1
"Both operating profit and net sales for the sixmonth period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",1
"Both operating profit and net sales for the sixmonth period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",1
"Both operating profit and net sales for the sixmonth period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",1
"Both operating profit and net sales for the sixmonth period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .",1
"Both operating profit and net sales for the threemonth period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",1
"Both operating profit and net sales for the threemonth period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",1
"Both operating profit and sales for the threemonth period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",1
"Both operating profit and turnover for the ninemonth period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",1
"Both operating profit and turnover for the sixmonth period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .",1
"Both operating profit and turnover for the sixmonth period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .",1
Cargo volume grew by 7 percent .,1
Cargo volume increased by approximately 5 percent .,1
"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .",1
"Digia said its consolidated net sales for JanuaryJune 2010 were EUR67 .8 m , up 9.7 percent on the same period in 2009  EUR61 .9 m  .",1
Diluted earnings per share  EPS  rose to EUR 0.29 from EUR 0.05 .,1
Diluted earnings per share  EPS  rose to EUR 0.52 versus EUR 0.09 .,1
Diluted earnings per share  EPS  rose to EUR 1.05 from EUR 0.64 .,1
Diluted earnings per share  EPS  rose to EUR 3.68 from EUR 0.50 .,1
Diluted EPS rose to EUR3 .68 from EUR0 .50 .,1
EBIT margin was up from 1.4 percent to 5.1 percent .,1
"EPS for the quarter was EUR0 .00 , as compared with EUR0 .01 in the third quarter of 2008 , representing a Group net sales for the third quarter were EUR15 .3 m , up by 2.8 percent as compared with EUR14 .9 m in the third quarter of 2008 .",1
"EPS from continuing operations came in at 0.30 eur , up from 0.17 .",1
"Equity ratio was 60.9 percent compared to 54.2 percent In the third quarter of 2007 , net sales of the Frozen Foods Business totaled EUR 11.0 , up by about 5 percent from the third quarter of 2006 .",1
"EUR928 ,000 in Q1 2010 6 May 2010  Finnish textile and clothing design company Marimekko Oyj  HEL  MMO1V  said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier .",1
"Finlandbased Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a longterm manufacturing supply deal with communications equipment company Andrew Corp. .",1
Finnish cutlery and hand tools maker Fiskars Oyj Abp  HEL  FISAS  said today its net profit rose to EUR 24.1 million  USD 33.6 m  in the third quarter of 2010 from EUR 17.9 million a year earlier .,1
Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro   56.8 mln  for the first nine months of 2007 from 37.4 mln euro   53.4 mln  for the same period of 2006 .,1
"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro   111.1 mln  for the first half of 2008 from 57.1 mln euro   89.1 mln  for the same period of 2007 .",1
Finnish messaging solutions developer Tecnomen Corporation  OMX Helsinki  TEM1V  said on Thursday  11 December  that it has received an expansion order for its Convergent Charging solution in Latin America .,1
Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro   72.5 mln  for the first nine months of 2007 from 20.1 mln euro   28.9 mln  for the same period of 2006 .,1
Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro   35.9 mln  for the first quarter of 2007 from 5.3 mln euro   7.3 mln  for the same period of 2006 .,1
Finnish office supplies and computer accessories dealer BelttonGroup Plc said its net profit rose to 1.3 mln euro   1.7 mln  in 2006 from 1.13 mln euro   1.5 mln  in 2005 .,1
"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct yearonyear to 3.6 mln euro   5.3 mln  for the fourth quarter of 2007 .",1
"Finnish silicon wafer technology company Okmetic Oyj  OMX Helsinki  OKM1V  reported on Thursday  7 August  an operating profit of EUR5 .3 m for the period JanuaryJune 2008 , up from EUR3 .3 m in the corresponding period in 2007 .",1
Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro   4.6 mln  in 2006 from 2.3 mln euro   3.0 mln  in 2005 .,1
First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .,1
"Following the acquisition , Relacom will strengthen its presence in Finland , serving operators and office market with mobile and fixed networks construction , installation and maintenance services .",1
"For the first nine months of 2010 , the company s net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .",1
"HELSINKI  AFX   Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct yearonyear .",1
"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .",1
"However , sales returned to growth in AprilJune 2010 , CEO Pekka Eloholma said .",1
"Ragutis , which is controlled by the Finnish brewery , reported a 5.4percent rise in beer sales to 10.44 million litres and held an 11.09percent market share .",1
"SvyturysUtenos Alus , which is controlled by the Nordic group Baltic Beverages Holding  BBH  , posted a 4.7percent growth in beer sales for JanuaryMay to 46.22 million litres .",1
"In addition , Kone signed a twoyear maintenance contract for the escalators .",1
"In December alone , the members of the Lithuanian Brewers  Association sold a total of 20.3 million liters of beer , an increase of 1.9 percent from the sales of 19.92 million liters in December 2004 .",1
"In JanuarySeptember 2009 , the Group s net interest income increased to EUR 112.4 mn from EUR 74.3 mn in JanuarySeptember 2008 .",1
"In Q1 of 2010 , Bank of land s net interest income increased from EUR 9.1 mn to EUR 9.7 mn .",1
"In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up 30.8 percent from the corresponding period in 2005 .",1
"In the fourth quarter of 2009 , Orion s net profit went up by 33.8 percent yearonyear to EUR33m .",1
"In the second quarter of 2010 , the group s net profit rose to EUR 3.1 million from EUR 2.5 million in AprilJune 2009 .",1
"In the second quarter of 2010 , the group s net profit rose to EUR3 .1 m from EUR2 .5 m in AprilJune 2009 .",1
"In the third quarter , net sales increased by 12 percent yearonyear to EUR 159.5 million , or by 6 percent at comparable currency rates growth .",1
"In the third quarter , net sales increased by 12 percent yearonyear to EUR159 .5 m , or by 6 percent at comparable currency rates growth .",1
Its market share widened to 48.51 percent from 48.31 percent a year earlier .,1
"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by onetenth over the preceding year .",1
"Kesko s car import and retailing business , VVAuto , saw sales grow by 17.1 pct .",1
Kone s net sales rose by some 14 percent yearonyear in the first nine months of 2008 .,1
" ADP News   Feb 11 , 2009  Finnish management software solutions provider Ixonos Oyj  HEL  XNS1V  said today its net profit rose to EUR 3.5 million  USD 4.5 m  for 2008 from EUR 3.1 million for 2007 .",1
" ADP News   Feb 12 , 2009  Finnish IT solutions provider Affecto Oyj  HEL  AFE1V  said today its net profit rose to EUR 8.5 million  USD 11m  in 2008 from EUR 7 million in 2007 .",1
" ADP News   Feb 6 , 2009  Finnish fishing tackle company Rapala VMC Corp  HEL  RAP1V  said today its net profit rose to EUR 19.2 million  USD 24.6 m  for 2008 from EUR 17.5 million for 2007 .",1
" ADP News   Nov 5 , 2008  Finnish electronic measurement products and solutions maker Vaisala Oyj  OMX  VAIAS  said today that its net profit rose to EUR 18 million  USD 23.1 m  for the first nine months of 2008 from EUR 1",1
" ADP News   Oct 29 , 2008  Finnish lifting equipment maker Konecranes Oyj  OMX  KCR1V  said today that its net profit rose to EUR 116.6 million  USD 149.1 m  in the first nine months of 2008 from EUR 73.6 million for the s",1
"Metso expects its net sales to increase by about 10 percent in 2008 , at comparable exchange rates .",1
"Neste Oil Corp. has signed longterm procurement contracts with Honkajoki Oy and Findest Protein Oy , both owned by Finnish food manufacturers , for the supply of animal fat for biodiesel production at Neste s 200,000 bcd Porvoo , Finland , refinery .",1
Net interest income increased by 4.5 percent to EUR 31.4 mn from EUR 30.0 mn in 2004 .,1
"Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 .",1
"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn .",1
Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .,1
"Nokia Multimedia s net sales totaled EUR 5.7 bn , up 45 percent from the corresponding period in 2005 .",1
Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .,1
"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .",1
Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .,1
Operating profit rose to 22.1 mln eur from 19.9 mln .,1
Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,1
Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .,1
Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 .,1
Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the corresponding period in 2006 .,1
Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .,1
Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 .,1
Operating profit rose to EUR 4.7 mn from EUR 3.6 mn .,1
Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .,1
Operating profit rose to EUR 9.2 mn from EUR 6.8 mn in the corresponding period in 2007 .,1
Operating profit rose to EUR2 .4 m from EUR1 .6 m year earlier .,1
"Operating profit surged to EUR21m from EUR106 ,000 .",1
"Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 .",1
"Operating profit totaled EUR 5.5 mn , up from EUR 0.7 mn .",1
"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .",1
"Operating profit was EUR 139.7 mn , up 23 percent from EUR 113.8 mn .",1
"Order intake grew by 40 percent yearonyear and 30 percent yearonyear , respectively , to EUR 576 million and EUR 1.7 billion for the respective JanuarySeptember and JulySeptember 2010 periods .",1
Orders received grew by 55 percent yearonyear to EUR732m .,1
Orion Pharma s operating profit increased by 42.5 percent from 2004 .,1
Passenger volumes rose by 8.4 percent in the accounting period .,1
Passengerrelated revenue rose by 5.1 percent to EUR 460.8 mn from EUR 438.5 mn in 2009 .,1
"Press release 9 October 2009 Ruukki has signed a contract to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .",1
